url,quartier,surface,prix_annonce_m2,prix_marche_m2,ecart_m2,ecart_pct
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/safti-1-1584188?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D8%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Jean du Var,66.0,3318.0,5048.48,-1730.48,-34.28
https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/ag311656-506961788?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D9%26camera%3D8_4.5866739_43.1085545_0_0,Bon Rencontre,102.0,2441.0,2236.31,204.69,9.15
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/safti-1-1582616?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D9%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,34.0,2529.0,2453.39,75.61,3.08
https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-1979627?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D9%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,80.0,2113.0,3358.83,-1245.83,-37.09
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1969751?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D9%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,62.0,1855.0,2459.12,-604.12,-24.57
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1969433?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D9%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,47.0,2660.0,2619.07,40.93,1.56
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1962353?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D9%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,63.0,2333.0,2448.45,-115.45,-4.72
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/safti-1-1564105?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D9%26camera%3D8_4.5866739_43.1085545_0_0,Porte d'Italie,74.0,5392.0,2028.29,3363.71,165.84
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/netty-company53630wyb-appt-2625?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D9%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,98.0,1997.0,2654.99,-657.99,-24.78
https://www.bienici.com/annonce/vente-de-prestige/toulon/maison/6pieces/safti-1-1566831?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Beaulieu,175.0,4657.0,4835.0,-178.0,-3.68
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1954506?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Champs-de-Mars,49.0,3041.0,3643.93,-602.93,-16.55
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ag311656-499845731?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Champs-de-Mars,45.0,3533.0,3750.67,-217.67,-5.8
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/safti-1-1563413?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Porte d'Italie,71.0,3845.0,2036.1,1808.9,88.84
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-lessablettes-388495?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,50.0,2360.0,3209.24,-849.24,-26.46
