source,date_annonce,date_crawl,titre,type_bien,type_achat,budget_max,surface_min,nb_pieces,quartier_souhaite,criteres,url,description,prix,surface,prix_m2,quartier,date_publication,surface_m2,segment
LeBonCoin,,2026-03-10,Toulon centre port appartement type 3 ascenseur,Appartement,,,,3.0,,ascenseur,https://www.leboncoin.fr/ad/ventes_immobilieres/3158896208,,190800.0,68.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Studio 1 pièce 20 m²,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3111057518,,76990.0,20.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 63 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3114096426,,202000.0,63.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 45 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3141106987,,249000.0,45.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Maison 5 pièces 125 m²,Maison,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3158875213,,860000.0,125.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Appartement 5 pièces 119 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3155219839,,320000.0,119.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 61 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3138367263,,120000.0,61.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 83 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3111821811,,195000.0,83.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 75 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3131737403,,139000.0,75.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 66 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3140721020,,130600.0,66.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Duplex 3 pièces 71 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3049978341,,200000.0,71.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 86 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3020092705,,175000.0,86.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 94 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3102625056,,259000.0,94.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 62 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3135499219,,114999.0,62.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Studio 1 pièce 21 m²,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3158836931,,109000.0,21.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 87 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3151399272,,255000.0,87.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Studio 1 pièce 22 m²,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3064174638,,99000.0,22.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 61 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3158833826,,192000.0,61.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Maison 6 pièces 240 m²,Maison,,,,6.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3155384706,,1190000.0,240.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Appartement 2 pièces 49 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3123924336,,102000.0,49.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 151 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3113006876,,550000.0,151.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 90 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3158793730,,415000.0,90.0,,Non precise,,,Non classifié
